,OCC_TOTAL_OI
2024-06-06,491316707.0
2024-06-07,494735721.0
2024-06-10,521562452.0
2024-06-11,528920381.0
2024-06-12,538458787.0
2024-06-13,543228799.0
2024-06-14,547195635.0
2024-06-17,539566147.0
2024-06-18,546898834.0
2024-06-20,549810865.0
2024-06-21,526614602.0
2024-06-24,435677557.0
2024-06-25,443786875.0
2024-06-26,456317086.0
2024-06-27,463584203.0
2024-06-28,467786761.0
2024-07-01,455717062.0
2024-07-02,463425206.0
2024-07-03,468427883.0
2024-07-05,473596741.0
2024-07-08,470301689.0
2024-07-09,477447595.0
2024-07-10,486214285.0
2024-07-11,495104064.0
2024-07-12,499179031.0
2024-07-15,498495311.0
2024-07-16,508424888.0
2024-07-17,518014619.0
2024-07-18,520500665.0
2024-07-19,507714184.0
2024-07-22,451527543.0
2024-07-23,459568448.0
2024-07-24,469880090.0
2024-07-25,476726303.0
2024-07-26,480641865.0
2024-07-29,470184040.0
2024-07-30,478756313.0
2024-07-31,486798967.0
2024-08-01,495308027.0
2024-08-02,501886920.0
2024-08-05,491790780.0
2024-08-06,499597292.0
2024-08-07,506741319.0
2024-08-08,515433116.0
2024-08-09,518578616.0
2024-08-12,510086746.0
2024-08-13,518486755.0
2024-08-14,526244589.0
2024-08-15,534488810.0
2024-08-16,524041266.0
2024-08-19,469973767.0
2024-08-20,478773092.0
2024-08-21,485402221.0
2024-08-22,488405403.0
2024-08-23,493073787.0
2024-08-26,486015796.0
2024-08-27,491913981.0
2024-08-28,499670949.0
2024-08-29,505224130.0
2024-08-30,508849710.0
2024-09-03,498977240.0
2024-09-04,505081363.0
2024-09-05,511867098.0
2024-09-06,516276842.0
2024-09-09,508647988.0
2024-09-10,515703369.0
2024-09-11,523200685.0
2024-09-12,531478068.0
2024-09-13,536277434.0
2024-09-16,529736616.0
2024-09-17,537307845.0
2024-09-18,543701257.0
2024-09-19,546357705.0
2024-09-20,528002609.0
2024-09-23,454546018.0
2024-09-24,464777723.0
2024-09-25,474224765.0
2024-09-26,485139433.0
2024-09-27,491597298.0
2024-09-30,485798254.0
2024-10-01,496051419.0
2024-10-02,505541815.0
2024-10-03,514637125.0
2024-10-04,520864460.0
2024-10-07,515055614.0
2024-10-08,522842947.0
2024-10-09,530739540.0
2024-10-10,537953556.0
2024-10-11,543200407.0
2024-10-14,536158512.0
2024-10-15,545914486.0
2024-10-16,553921034.0
2024-10-17,556321745.0
2024-10-18,544195340.0
2024-10-21,486566980.0
2024-10-22,495869213.0
2024-10-23,505813058.0
2024-10-24,512942711.0
2024-10-25,517541180.0
2024-10-28,509442843.0
2024-10-29,518687356.0
2024-10-30,528081580.0
2024-10-31,537319571.0
2024-11-01,539652103.0
2024-11-04,526925795.0
2024-11-05,537657204.0
2024-11-06,547104029.0
2024-11-07,557101358.0
2024-11-08,562316581.0
2024-11-11,555128685.0
2024-11-12,565684632.0
2024-11-13,574149301.0
2024-11-14,582242805.0
2024-11-15,570555706.0
2024-11-18,510061319.0
2024-11-19,519634604.0
2024-11-20,530693711.0
2024-11-21,531502087.0
2024-11-22,537482105.0
2024-11-25,531126966.0
2024-11-26,539736794.0
2024-11-27,547417034.0
2024-11-29,546041693.0
2024-12-02,537797007.0
2024-12-03,546375996.0
2024-12-04,556090451.0
2024-12-05,564702104.0
2024-12-06,569673361.0
2024-12-09,563165117.0
2024-12-10,572080096.0
2024-12-11,581027360.0
2024-12-12,588683062.0
2024-12-13,575007313.0
2024-12-16,584320646.0
2024-12-17,593071781.0
2024-12-18,595640362.0
2024-12-19,601567747.0
2024-12-20,493904205.0
2024-12-23,503836826.0
2024-12-24,508493102.0
2024-12-26,514676518.0
2024-12-27,502544094.0
2024-12-30,510554114.0
2024-12-31,511414512.0
2025-01-02,518957730.0
2025-01-03,512329045.0
2025-01-06,525334904.0
2025-01-07,534993106.0
2025-01-08,543895040.0
2025-01-09,543266089.0
2025-01-10,535504639.0
2025-01-13,545130935.0
2025-01-14,554981115.0
2025-01-15,564967321.0
2025-01-16,572129781.0
2025-01-17,391657067.0
2025-01-21,405774094.0
2025-01-22,412124552.0
2025-01-23,423531108.0
2025-01-24,411837441.0
2025-01-27,425233615.0
2025-01-28,435195384.0
2025-01-29,444411906.0
2025-01-30,456170501.0
2025-01-31,438043260.0
2025-02-03,449209934.0
2025-02-04,459585151.0
2025-02-05,469504803.0
2025-02-06,478205074.0
2025-02-07,462797815.0
2025-02-10,473315790.0
2025-02-11,482852313.0
2025-02-12,491926370.0
2025-02-13,501554867.0
2025-02-14,489110819.0
2025-02-18,502105150.0
2025-02-19,507619861.0
2025-02-20,517518240.0
2025-02-21,443441860.0
2025-02-24,456008852.0
2025-02-25,468827853.0
2025-02-26,479784826.0
2025-02-27,489432566.0
2025-02-28,469530127.0
2025-03-03,481196829.0
2025-03-04,492791339.0
2025-03-05,502620312.0
2025-03-06,512040154.0
2025-03-07,497526735.0
2025-03-10,510890923.0
2025-03-11,521374971.0
2025-03-12,529294717.0
2025-03-13,537524108.0
2025-03-14,525022572.0
2025-03-17,534356285.0
2025-03-18,535677944.0
2025-03-19,544555473.0
2025-03-20,550310929.0
2025-03-21,440843517.0
2025-03-24,453231119.0
2025-03-25,462395662.0
2025-03-26,470886454.0
2025-03-27,479199547.0
2025-03-28,466669344.0
2025-03-31,471891899.0
2025-04-01,480999720.0
2025-04-02,489413766.0
2025-04-03,500818768.0
2025-04-04,494872893.0
2025-04-07,506924469.0
2025-04-08,518438105.0
2025-04-09,530628896.0
2025-04-10,541230322.0
2025-04-11,528048484.0
2025-04-14,536962640.0
2025-04-15,543249966.0
2025-04-16,542990016.0
2025-04-17,459898617.0
2025-04-21,470133572.0
2025-04-22,480479023.0
2025-04-23,490740020.0
2025-04-24,500429964.0
2025-04-25,485930081.0
2025-04-28,495543356.0
2025-04-29,503490308.0
2025-04-30,508574792.0
2025-05-01,517077031.0
2025-05-02,502420332.0
2025-05-05,512127442.0
2025-05-06,520591937.0
2025-05-07,527969182.0
2025-05-08,537942369.0
2025-05-09,526967768.0
2025-05-12,537759950.0
2025-05-13,550231751.0
2025-05-14,559921908.0
2025-05-15,569334251.0
2025-05-16,483300607.0
2025-05-19,494752784.0
2025-05-20,504252367.0
2025-05-21,509622166.0
2025-05-22,518459080.0
2025-05-23,504744318.0
2025-05-27,515576625.0
2025-05-28,524687685.0
2025-05-29,532972983.0
2025-05-30,515308274.0
2025-06-02,524592984.0
2025-06-03,533902294.0
2025-06-04,542097603.0
2025-06-05,551987221.0
2025-06-06,539338283.0
2025-06-09,550266745.0
2025-06-10,559411986.0
2025-06-11,567743929.0
2025-06-12,575540248.0
2025-06-13,560923823.0
2025-06-16,571000630.0
2025-06-17,579240549.0
2025-06-18,582214568.0
2025-06-20,451021451.0
2025-06-23,462887159.0
2025-06-24,474920117.0
2025-06-25,485152293.0
2025-06-26,496716025.0
2025-06-27,485529387.0
2025-06-30,493606534.0
