,QQQ_Price_Close,QQQ_Volume,SPY_Price_Close,SPY_Volume,US10_Mid_Price,US10_Mid_Yld,US30_Mid_Price,US30_Mid_Yld,GLD_Price_Close,GLD_Volume,IWM_Price_Close,IWM_Volume,VIX
2015-01-02,102.8859565,31314599.0,205.43,121465865.0,101.2109375,2.11315,106.359375,2.68875,114.08,7109594.0,118.93,46133132.0,17.79
2015-01-05,101.37674925,36521270.0,201.72,169632646.0,101.9296875,2.03285,108.21875,2.6023,115.8,8177350.0,117.34,51141891.0,19.92
2015-01-06,100.01746325,66205451.0,199.82,209151408.0,102.7890625,1.93755,110.5078125,2.49845,117.12,11238313.0,115.31,67446040.0,21.12
2015-01-07,101.306786,37577361.0,202.31,125346709.0,102.5078125,1.96855,109.765625,2.5317,116.43,6434196.0,116.73,32252095.0,19.31
2015-01-08,103.2457675,40212640.0,205.9,147217784.0,102.0703125,2.017,108.3125,2.5979,115.94,7033675.0,118.71,28361730.0,17.01
2015-01-09,102.5661245,41410071.0,204.25,158567288.0,102.6875,1.9484,109.7734375,2.53125,117.26,7962886.0,117.57,26975175.0,17.55
2015-01-12,101.49668625,34129751.0,202.65,144396067.0,103.0546875,1.90785,110.59375,2.4944,118.56,8318211.0,117.18,27316763.0,19.6
2015-01-13,101.466702,56162334.0,202.08,214553306.0,103.0859375,1.90425,110.4375,2.5013,118.16,7693200.0,117.27,49991380.0,20.56
2015-01-14,100.906996,51354217.0,200.86,192991092.0,103.5390625,1.85445,111.2421875,2.46545,117.97,7727403.0,116.8,34224203.0,21.48
2015-01-15,99.59768375,51005416.0,199.0199,176613906.0,104.7109375,1.72665,113.5078125,2.36605,120.94,17692548.0,114.83,46199361.0,22.39
2015-01-16,100.7670695,35362210.0,201.63,211879605.0,103.7578125,1.82995,111.6953125,2.44515,122.52,14428223.0,116.7,41895670.0,20.95
2015-01-20,101.5666495,30964056.0,202.055,130991069.0,104.125,1.7897,113.2109375,2.37875,124.2,14968636.0,116.21,36444437.0,19.89
2015-01-21,102.0863765,40128772.0,203.08,122942707.0,103.3515625,1.87435,111.234375,2.4655,124.23,11082739.0,115.84,27333530.0,18.85
2015-01-22,103.97538425,40887168.0,206.1,174356029.0,103.3828125,1.8708,111.734375,2.44335,125.23,10518355.0,118.2,37876960.0,16.4
2015-01-23,104.2052635,34782992.0,204.97,117516753.0,104.1328125,1.78825,113.5390625,2.3643,124.23,6270911.0,118.12,28173394.0,16.66
2015-01-26,104.0853265,19960870.0,205.45,92009711.0,103.7734375,1.8275,112.7890625,2.3969,122.99,6768646.0,119.26,23006787.0,15.52
2015-01-27,101.386744,45253205.0,202.74,134044598.0,103.78125,1.8265,112.7578125,2.39825,124.4,9584838.0,118.69,26919080.0,17.22
2015-01-28,100.867017,43591675.0,200.14,168514312.0,104.7734375,1.71815,115.328125,2.2875,123.42,8470574.0,116.69,38086115.0,20.44
2015-01-29,101.83650775,46539734.0,201.9902,173585424.0,104.4296875,1.75545,114.609375,2.3181,120.76,11997964.0,118.3,39299943.0,18.76
2015-01-30,101.0469225,42927638.0,199.45,197729724.0,105.515625,1.63735,116.875,2.22225,123.45,14555862.0,115.7,49739789.0,20.97
2015-02-02,101.9264605,43624654.0,201.92,163106969.0,105.1875,1.6726,116.0625,2.25625,122.42,8885189.0,116.76,44819096.0,19.43
2015-02-03,102.905946,30750360.0,204.84,124212881.0,104.0390625,1.79745,113.0234375,2.3864,121.05,8255863.0,118.85,43920001.0,17.33
2015-02-04,102.81599325,34073211.0,204.06,134306728.0,104.5078125,1.74615,114.078125,2.34065,121.58,5386747.0,118.41,28597060.0,18.33
2015-02-05,103.705526,23605516.0,206.12,97953181.0,103.8671875,1.81615,112.0703125,2.42805,121.79,6879945.0,119.94,32337113.0,16.85
2015-02-06,103.07585675,34169256.0,205.55,125672026.0,102.5859375,1.95755,109.7890625,2.52975,118.64,13206906.0,119.81,31694901.0,17.29
2015-02-09,102.74603,22604655.0,204.63,87219016.0,102.4140625,1.97665,109.359375,2.54925,119.17,5237181.0,118.86,32367852.0,18.55
2015-02-10,104.34519,23686531.0,206.81,96164183.0,102.1875,2.00195,108.6484375,2.58165,118.47,4086321.0,119.62,28960804.0,17.23
2015-02-11,104.7249905,20303617.0,206.93,91087785.0,102.0234375,2.02025,108.5390625,2.58665,117.07,6784397.0,119.45,23794191.0,16.96
2015-02-12,105.94435,22520295.0,208.92,97545949.0,100.1171875,1.987,108.734375,2.5777,117.34,4344444.0,120.81,27854552.0,15.34
2015-02-13,106.85387225,29030249.0,209.78,93670430.0,99.5859375,2.046,96.984375,2.6463,117.98,4108870.0,121.53,20446915.0,14.69
2015-02-17,106.95381975,17675344.0,210.11,76968199.0,98.7109375,2.144,95.2734375,2.7319,116.01,7225154.0,121.91,16868460.0,15.8
2015-02-18,107.103741,15149619.0,210.13,80652941.0,99.2421875,2.0844,95.609375,2.71495,116.34,8336029.0,122.04,20450185.0,15.45
2015-02-19,107.63346275,19828113.0,209.98,91462491.0,98.9140625,2.1212,95.109375,2.7402,115.94,6528724.0,122.05,16620467.0,15.29
2015-02-20,108.35308475,28336710.0,211.239,140896392.0,98.9765625,2.1143,95.5703125,2.71695,115.28,6681734.0,122.38,30331597.0,14.3
2015-02-23,108.463027,17867968.0,211.209,74411054.0,99.4609375,2.06005,96.7578125,2.6576,115.43,4812393.0,122.5,25778239.0,14.56
2015-02-24,108.542985,19745011.0,211.81,72472263.0,100.2578125,1.97135,98.265625,2.58345,115.26,7612919.0,122.66,20023603.0,13.69
2015-02-25,108.27312675,19472341.0,211.63,73061687.0,100.2578125,1.97135,98.515625,2.57135,115.7,5032535.0,122.8,17059628.0,13.84
2015-02-26,108.822838,22255476.0,211.38,72697868.0,99.7265625,2.0304,97.3046875,2.63055,116.07,4025356.0,123.25,24379043.0,13.91
2015-02-27,108.34309,27757584.0,210.66,108075972.0,100.046875,1.99475,98.078125,2.59265,116.16,8255636.0,122.58,23821659.0,13.34
2015-03-02,109.3225755,22988645.0,211.99,87491428.0,99.2109375,2.08815,96.1953125,2.68565,115.68,7993280.0,123.47,29683461.0,13.04
2015-03-03,108.81284325,20788924.0,211.12,110325809.0,98.9140625,2.12155,95.6015625,2.7155,115.47,4738347.0,122.74,23068431.0,13.86
2015-03-04,108.39306375,21007420.0,210.2301,114497192.0,98.9453125,2.11805,95.5234375,2.7194,115.11,4762403.0,122.36,22822508.0,14.23
2015-03-05,108.582964,15381039.0,210.46,76872957.0,98.9609375,2.1163,95.3984375,2.7258,115.0,5872197.0,122.72,19725646.0,14.04
2015-03-06,107.35360975,30990366.0,207.5,188127982.0,97.8203125,2.24585,93.0859375,2.8446,111.86,11190846.0,121.17,37319894.0,15.2
2015-03-09,107.663447,26237101.0,208.36,89818893.0,98.3046875,2.1907,94.046875,2.7948,111.97,5534011.0,121.7,17556337.0,15.06
2015-03-10,105.664497,34234496.0,204.98,157121263.0,98.9296875,2.12,95.765625,2.7073,111.42,7019781.0,120.3,32440299.0,16.69
2015-03-11,105.05481725,25459733.0,204.5,110145718.0,99.0390625,2.1077,96.2109375,2.68495,110.75,6550445.0,121.04,20914510.0,16.87
2015-03-12,105.744455,21473171.0,207.1,93993523.0,99.0234375,2.10945,96.0390625,2.6936,110.72,6631459.0,123.05,41063341.0,15.42
2015-03-13,105.2846965,42021103.0,205.8272,162410893.0,98.9609375,2.1166,95.9140625,2.6999,110.88,4557576.0,122.61,26371036.0,16.0
