Date,SPY_Price Open,SPY_Price High,SPY_Price Low,SPY_Price Close,SPY_Volume,TLT.O_Price Open,TLT.O_Price High,TLT.O_Price Low,TLT.O_Price Close,TLT.O_Volume,GLD_Price Open,GLD_Price High,GLD_Price Low,GLD_Price Close,GLD_Volume,XLE_Price Open,XLE_Price High,XLE_Price Low,XLE_Price Close,XLE_Volume,.DXY_Price Open,.DXY_Price High,.DXY_Price Low,.DXY_Price Close,Term_Spread,Credit_Spread,Breakeven_Inflation,VIX,Gold_Spot,WTI_Crude
2004-11-18,118.49,118.8,118.23,118.74,31910700.0,88.55,89.06,88.41,88.97,891500.0,44.43,44.49,44.07,44.38,5992000.0,17.3753292,17.47728,17.2976524,17.453006,4390400.0,83.32,83.9,83.1,83.69,1.26,2.01,2.48,12.98,108.33,46.3
2004-11-19,118.7,118.72,117.14,117.42,54280400.0,88.9,89.03,88.09,88.26,1244500.0,44.49,44.92,44.47,44.78,11655300.0,17.550102,17.7248748,17.4675704,17.6617624,7872800.0,83.87,83.91,83.01,83.31,1.25,1.99,2.53,13.5,109.69,48.9
2004-11-22,117.17,118.12,117.03,117.98,37574400.0,88.35,88.87,88.3,88.72,511500.0,44.75,44.97,44.74,44.95,11996000.0,17.6860364,17.96276,17.6617624,17.9433408,7439600.0,83.27,83.39,83.08,83.19,1.23,1.96,2.56,12.97,109.69,48.48
2004-11-23,117.93,118.26,117.37,118.16,41973400.0,88.5,89.2,88.48,88.83,747600.0,44.88,44.92,44.72,44.75,3169200.0,17.96276,18.1520972,17.9481956,18.0550012,3691800.0,83.17,83.54,82.81,82.97,1.21,1.96,2.54,12.67,107.71,48.74
2004-11-24,118.27,118.59,118.05,118.44,29735000.0,88.91,88.91,88.73,88.83,309700.0,44.93,45.05,44.79,45.05,3169200.0,18.108404,18.2055,17.9093572,18.2055,7098400.0,82.9,82.96,82.36,82.41,1.19,1.95,2.56,12.72,107.21,49.14
2004-11-25,118.27,118.59,118.05,118.44,0.0,88.91,88.91,88.73,88.83,0.0,44.93,45.05,44.79,45.05,0.0,18.108404,18.2055,17.9093572,18.2055,0.0,82.28,82.46,82.01,82.18,1.19,1.95,2.56,12.72,107.21,49.14
2004-11-26,118.51,118.98,118.3,118.35,15490000.0,88.29,88.34,88.23,88.25,697100.0,45.25,45.6,45.06,45.29,3097700.0,18.2637576,18.399692,18.254048,18.2831768,2064200.0,81.78,82.42,81.53,81.78,1.21,1.96,2.58,12.79,109.87,49.14
2004-11-29,118.79,119.01,117.48,117.81,61762600.0,87.47,87.6,87.17,87.31,1546400.0,45.1,45.5,45.08,45.4,3759000.0,18.375418,18.375418,17.987034,18.1860808,5403800.0,81.93,82.16,81.78,81.93,1.27,1.93,2.6,13.3,110.03,49.71
2004-11-30,118.0,118.24,117.64,117.89,54476300.0,86.94,87.16,86.63,86.94,1754500.0,45.37,45.41,44.82,45.12,3859100.0,18.1860808,18.2637576,18.156952,18.2103548,6979600.0,82.03,82.22,81.57,81.82,1.34,1.95,2.61,13.24,106.75,49.16
2004-12-01,118.16,119.5,118.1,119.23,49920200.0,86.7,86.75,86.18,86.45,1939800.0,45.28,45.59,45.26,45.38,2037500.0,18.156952,18.217637,17.7394392,17.7734228,14346800.0,81.81,81.88,81.55,81.56,1.37,1.95,2.59,12.97,106.71,45.56
2004-12-02,119.1,119.87,119.01,119.33,60192500.0,86.17,86.3,86.01,86.1,2881500.0,45.55,45.57,44.68,44.95,6457800.0,17.622924,17.6666172,17.1665728,17.3025072,12799600.0,81.45,82.13,81.18,81.95,1.36,1.94,2.57,12.98,103.21,43.31
2004-12-03,119.27,120.14,119.09,119.25,49078200.0,87.15,87.66,86.93,87.44,2233700.0,45.04,46.0,44.8,45.6,4218300.0,17.2491044,17.5112636,17.2442496,17.4724252,7960200.0,81.99,82.08,80.94,80.98,1.33,1.96,2.54,12.96,103.85,42.56
2004-12-06,119.21,119.64,118.84,119.21,33046700.0,87.49,87.85,87.45,87.74,1314100.0,45.39,45.47,45.11,45.17,3103000.0,17.7588584,17.7588584,17.3510552,17.4821348,2995400.0,80.96,81.3,80.91,81.28,1.31,1.96,2.54,13.19,102.41,42.96
2004-12-07,119.49,119.62,118.04,118.1,52106700.0,87.74,87.89,87.5,87.85,784300.0,45.3,45.32,45.07,45.11,3809400.0,17.501554,17.501554,17.1180248,17.1180248,6882200.0,81.4,81.43,80.92,81.24,1.28,1.96,2.54,13.67,100.25,41.51
2004-12-08,118.21,118.82,118.01,118.79,43904900.0,88.41,89.22,88.36,89.22,2639700.0,43.8,44.02,43.36,44.01,6150500.0,16.9918,17.2782332,16.8752848,17.23454,9152800.0,81.25,82.73,81.21,81.9,1.23,1.94,2.52,13.19,98.8,41.96
2004-12-09,118.14,119.46,117.73,119.21,60959300.0,88.99,89.27,88.57,88.63,1428900.0,43.75,43.9,43.2,43.78,3553400.0,17.283088,17.380184,17.1422988,17.380184,6512000.0,81.82,82.48,81.74,82.03,1.26,1.94,2.55,12.88,99.24,42.41
2004-12-10,118.88,119.56,118.85,119.33,47853700.0,88.95,89.05,88.67,88.85,1445000.0,43.37,43.6,43.31,43.44,2464300.0,17.3947484,17.4821348,17.2054112,17.258814,5593800.0,82.17,83.18,82.08,82.55,1.21,1.95,2.5,12.76,98.32,40.71
2004-12-13,119.76,120.4,119.35,120.37,38717900.0,88.82,89.29,88.8,89.04,677400.0,43.61,44.014,43.51,43.91,1445100.0,17.283088,17.5646664,17.283088,17.5646664,6084200.0,82.67,82.74,82.06,82.1,1.18,1.94,2.51,12.54,99.8,41.06
2004-12-14,120.18,120.96,120.18,120.79,41736100.0,88.74,89.44,88.7,89.39,1568200.0,43.76,43.8,43.51,43.55,2240600.0,17.550102,17.6520528,17.4821348,17.6180692,4825800.0,82.15,82.57,82.05,82.32,1.15,1.94,2.52,12.73,99.15,41.76
2004-12-15,120.7,121.11,120.31,120.88,46759800.0,89.95,90.25,89.84,90.2,2511500.0,44.1,44.17,43.92,43.99,2641400.0,17.6617624,17.792842,17.525828,17.7491488,10615800.0,82.3,82.56,81.42,81.63,1.12,1.91,2.52,12.35,99.15,44.21
2004-12-16,120.72,121.24,120.04,120.81,51651500.0,89.89,89.89,88.85,88.87,1998200.0,43.99,44.05,43.58,43.68,3269800.0,17.7540036,17.7540036,17.4869896,17.5695212,5357800.0,81.65,82.67,81.38,82.5,1.18,1.92,2.55,12.27,98.26,44.16
2004-12-17,119.46,119.97,119.16,119.44,71183600.0,88.48,88.88,88.425,88.75,1319800.0,43.93,44.22,43.78,44.19,1889300.0,17.4384416,17.5840856,17.4384416,17.501554,6285200.0,82.42,82.54,82.01,82.16,1.18,1.92,2.57,11.95,98.26,46.31
2004-12-20,119.75,120.29,119.17,119.47,47202100.0,88.87,89.1,88.82,88.91,230500.0,44.33,44.37,44.13,44.34,1942100.0,17.5937952,17.7394392,17.5355376,17.7151652,3894600.0,82.04,82.13,81.54,81.67,1.15,1.9,2.59,11.83,98.9,45.57
2004-12-21,119.6,120.48,119.46,120.39,33202000.0,89.06,89.24,88.9,89.18,245200.0,44.13,44.24,44.05,44.22,1373400.0,17.6617624,17.8753736,17.6617624,17.865664,5824600.0,81.69,81.99,81.58,81.94,1.13,1.91,2.59,11.55,99.99,45.76
2004-12-22,120.38,121.08,120.05,120.68,31508800.0,89.21,89.21,88.7,88.88,511600.0,44.2,44.23,43.89,44.02,2706800.0,17.865664,17.9239216,17.4578608,17.622924,7979600.0,81.91,82.12,81.73,81.93,1.17,1.91,2.58,11.45,99.12,44.05
2004-12-23,120.87,121.28,120.09,120.77,25647700.0,88.74,88.79,88.57,88.59,738600.0,44.17,44.35,44.05,44.27,2706800.0,17.6666172,17.744294,17.6180692,17.7248748,4261200.0,81.95,81.96,81.3,81.34,1.21,1.91,2.61,11.23,99.3,42.19
2004-12-24,120.87,121.28,120.09,120.77,0.0,88.74,88.79,88.57,88.59,0.0,44.17,44.35,44.05,44.27,0.0,17.6666172,17.744294,17.6180692,17.7248748,0.0,81.36,81.45,81.14,81.22,1.21,1.91,2.61,11.23,99.3,42.19
2004-12-27,121.2,121.36,120.39,120.52,29984600.0,88.33,88.37,87.7,87.9,1322600.0,44.29,44.56,44.27,44.48,2643700.0,17.47728,17.72002,17.4093128,17.4141676,8936000.0,81.28,81.37,80.54,80.72,1.23,1.9,2.63,12.14,100.12,41.26
