fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,0.00020865931583102793,0.4166666666666667
1,2010-01-06,2010-02-04,2010-04-28,1300,60,8.667646034155041e-05,0.48333333333333334
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00013656265218742192,0.48333333333333334
3,2010-06-23,2010-07-22,2010-10-13,1420,60,6.633564771618694e-05,0.5333333333333333
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00013722454605158418,0.5333333333333333
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.625215610256419e-05,0.55
6,2011-03-02,2011-03-31,2011-06-22,1600,60,8.39884887682274e-05,0.5833333333333334
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0002428486623102799,0.6
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00022281323617789894,0.5333333333333333
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.0001809341338230297,0.48333333333333334
10,2012-02-01,2012-03-01,2012-05-23,1840,60,8.462347614113241e-05,0.5166666666666667
11,2012-04-25,2012-05-24,2012-08-15,1900,60,9.314632916357368e-05,0.55
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.32577100279741e-05,0.5166666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,3.42533276125323e-05,0.5
14,2013-01-02,2013-01-31,2013-04-24,2080,60,0.0002383217215538025,0.5
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.00023260076704900712,0.5166666666666667
16,2013-06-19,2013-07-18,2013-10-09,2200,60,0.00017142562137451023,0.5333333333333333
17,2013-09-11,2013-10-10,2014-01-01,2260,60,0.00011551984789548442,0.5166666666666667
18,2013-12-04,2014-01-02,2014-03-26,2320,60,8.778445044299588e-05,0.38333333333333336
19,2014-02-26,2014-03-27,2014-06-18,2380,60,6.07072543061804e-05,0.5
20,2014-05-21,2014-06-19,2014-09-10,2440,60,5.135483297635801e-05,0.4166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,0.00012533429253380746,0.5
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.00012527381477411836,0.48333333333333334
23,2015-01-28,2015-02-26,2015-05-20,2620,60,7.820661267032847e-05,0.43333333333333335
24,2015-04-22,2015-05-21,2015-08-12,2680,60,4.307566268835217e-05,0.5833333333333334
25,2015-07-15,2015-08-13,2015-11-04,2740,60,7.388996164081618e-05,0.48333333333333334
26,2015-10-07,2015-11-05,2016-01-27,2800,60,8.387649722862989e-05,0.4166666666666667
27,2015-12-30,2016-01-28,2016-04-20,2860,60,0.00015846340102143586,0.43333333333333335
28,2016-03-23,2016-04-21,2016-07-13,2920,60,0.00012592664279509336,0.5166666666666667
29,2016-06-15,2016-07-14,2016-10-05,2980,60,6.521191244246438e-05,0.6166666666666667
30,2016-09-07,2016-10-06,2016-12-28,3040,60,5.567698462982662e-05,0.48333333333333334
31,2016-11-30,2016-12-29,2017-03-22,3100,60,4.265375537215732e-05,0.5833333333333334
32,2017-02-22,2017-03-23,2017-06-14,3160,60,3.725467104231939e-05,0.4166666666666667
33,2017-05-17,2017-06-15,2017-09-06,3220,60,3.516102515277453e-05,0.5666666666666667
34,2017-08-09,2017-09-07,2017-11-29,3280,60,3.875724723911844e-05,0.5
35,2017-11-01,2017-11-30,2018-02-21,3340,60,3.5174449294572696e-05,0.55
36,2018-01-24,2018-02-22,2018-05-16,3400,60,3.882128294208087e-05,0.5
