fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,8.925011934479699e-05,0.38333333333333336
1,2010-01-06,2010-02-04,2010-04-28,1300,60,6.0111698985565454e-05,0.7
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.0002951241622213274,0.55
3,2010-06-23,2010-07-22,2010-10-13,1420,60,9.674595639808103e-05,0.5333333333333333
4,2010-09-15,2010-10-14,2011-01-05,1480,60,4.801824252353981e-05,0.5833333333333334
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.613931327592582e-05,0.5666666666666667
6,2011-03-02,2011-03-31,2011-06-22,1600,60,5.763961962657049e-05,0.4666666666666667
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0004284893802832812,0.5333333333333333
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00040607820847071707,0.5833333333333334
9,2011-11-09,2011-12-08,2012-02-29,1780,60,5.838436845806427e-05,0.5166666666666667
10,2012-02-01,2012-03-01,2012-05-23,1840,60,6.317087536444888e-05,0.55
11,2012-04-25,2012-05-24,2012-08-15,1900,60,9.604212391423061e-05,0.5666666666666667
12,2012-07-18,2012-08-16,2012-11-07,1960,60,4.995409835828468e-05,0.5166666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.7718196583446115e-05,0.5333333333333333
14,2013-01-02,2013-01-31,2013-04-24,2080,60,6.065445631975308e-05,0.6
15,2013-03-27,2013-04-25,2013-07-17,2140,60,6.158453470561653e-05,0.48333333333333334
16,2013-06-19,2013-07-18,2013-10-09,2200,60,0.00010864411888178438,0.5666666666666667
17,2013-09-11,2013-10-10,2014-01-01,2260,60,3.180396379320882e-05,0.5333333333333333
18,2013-12-04,2014-01-02,2014-03-26,2320,60,5.176032573217526e-05,0.55
19,2014-02-26,2014-03-27,2014-06-18,2380,60,4.0772683860268444e-05,0.2833333333333333
20,2014-05-21,2014-06-19,2014-09-10,2440,60,2.6335899747209623e-05,0.5166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,6.0812300944235176e-05,0.5833333333333334
22,2014-11-05,2014-12-04,2015-02-25,2560,60,8.500202238792554e-05,0.55
23,2015-01-28,2015-02-26,2015-05-20,2620,60,5.837137359776534e-05,0.5333333333333333
24,2015-04-22,2015-05-21,2015-08-12,2680,60,5.742199573433027e-05,0.5333333333333333
25,2015-07-15,2015-08-13,2015-11-04,2740,60,0.00019181608513463289,0.5666666666666667
26,2015-10-07,2015-11-05,2016-01-27,2800,60,0.00012243103992659599,0.5333333333333333
27,2015-12-30,2016-01-28,2016-04-20,2860,60,8.508119208272547e-05,0.55
28,2016-03-23,2016-04-21,2016-07-13,2920,60,7.302253652596846e-05,0.5333333333333333
29,2016-06-15,2016-07-14,2016-10-05,2980,60,3.390116398804821e-05,0.5166666666666667
30,2016-09-07,2016-10-06,2016-12-28,3040,60,2.866719114535954e-05,0.5666666666666667
31,2016-11-30,2016-12-29,2017-03-22,3100,60,2.175679946958553e-05,0.43333333333333335
32,2017-02-22,2017-03-23,2017-06-14,3160,60,1.7871336240204982e-05,0.4666666666666667
33,2017-05-17,2017-06-15,2017-09-06,3220,60,2.390129884588532e-05,0.55
34,2017-08-09,2017-09-07,2017-11-29,3280,60,1.32868553919252e-05,0.5666666666666667
35,2017-11-01,2017-11-30,2018-02-21,3340,60,0.00010060151544166729,0.5666666666666667
36,2018-01-24,2018-02-22,2018-05-16,3400,60,0.0001145836286013946,0.5
37,2018-04-18,2018-05-17,2018-08-08,3460,60,2.8823942557210103e-05,0.6
38,2018-07-11,2018-08-09,2018-10-31,3520,60,8.81836749613285e-05,0.5166666666666667
39,2018-10-03,2018-11-01,2019-01-23,3580,60,0.00020301001495681703,0.48333333333333334
40,2018-12-26,2019-01-24,2019-04-17,3640,60,3.522440601955168e-05,0.6
41,2019-03-20,2019-04-18,2019-07-10,3700,60,5.5354157666442916e-05,0.5
42,2019-06-12,2019-07-11,2019-10-02,3760,60,0.00010145112901227549,0.48333333333333334
43,2019-09-04,2019-10-03,2019-12-25,3820,60,2.49829281528946e-05,0.65
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.0009749623131938279,0.5666666666666667
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.0006061955937184393,0.5666666666666667
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.00010227795428363606,0.7
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.00015230734425131232,0.5333333333333333
48,2020-10-28,2020-11-26,2021-02-17,4120,60,5.640671224682592e-05,0.55
49,2021-01-20,2021-02-18,2021-05-12,4180,60,8.262274786829948e-05,0.6166666666666667
50,2021-04-14,2021-05-13,2021-08-04,4240,60,3.9500166167272255e-05,0.5666666666666667
51,2021-07-07,2021-08-05,2021-10-27,4300,60,5.294680522638373e-05,0.5833333333333334
52,2021-09-29,2021-10-28,2022-01-19,4360,60,8.678892481839284e-05,0.48333333333333334
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.00018412660574540496,0.45
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.00032161848503164947,0.55
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00017737755842972547,0.5333333333333333
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.0002544354647397995,0.5833333333333334
57,2022-11-23,2022-12-22,2023-03-15,4660,60,0.00010295818356098607,0.43333333333333335
58,2023-02-15,2023-03-16,2023-06-07,4720,60,6.668460264336318e-05,0.55
59,2023-05-10,2023-06-08,2023-08-30,4780,60,4.986800195183605e-05,0.48333333333333334
60,2023-08-02,2023-08-31,2023-11-22,4840,60,7.293337694136426e-05,0.5166666666666667
61,2023-10-25,2023-11-23,2024-02-14,4900,60,3.937729343306273e-05,0.6
62,2024-01-17,2024-02-15,2024-05-08,4960,60,5.4366635595215484e-05,0.48333333333333334
63,2024-04-10,2024-05-09,2024-07-31,5020,60,4.646083834813908e-05,0.55
64,2024-07-03,2024-08-01,2024-10-23,5080,60,7.813749834895134e-05,0.6166666666666667
65,2024-09-25,2024-10-24,2025-01-15,5140,60,6.656102777924389e-05,0.5
66,2024-12-18,2025-01-16,2025-04-09,5200,60,0.0003927313373424113,0.5
67,2025-03-12,2025-04-10,2025-07-02,5260,60,9.925927588483319e-05,0.6333333333333333
68,2025-06-04,2025-07-03,2025-09-24,5320,60,3.03356719086878e-05,0.55
69,2025-08-27,2025-09-25,2025-12-17,5380,60,6.488682993222028e-05,0.6
