fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,5.767490074504167e-05,0.45
1,2010-01-06,2010-02-04,2010-04-28,1300,60,4.439312397153117e-05,0.5166666666666667
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00011269780952716246,0.5166666666666667
3,2010-06-23,2010-07-22,2010-10-13,1420,60,0.00012691543088294566,0.5166666666666667
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00013831074465997517,0.5
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.173765723360702e-05,0.5
6,2011-03-02,2011-03-31,2011-06-22,1600,60,5.259423778625205e-05,0.5666666666666667
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.00026018591597676277,0.5833333333333334
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00025031407130882144,0.5333333333333333
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.00010174780618399382,0.5666666666666667
10,2012-02-01,2012-03-01,2012-05-23,1840,60,8.22665897430852e-05,0.6
11,2012-04-25,2012-05-24,2012-08-15,1900,60,8.654281555209309e-05,0.43333333333333335
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.915848982520401e-05,0.5333333333333333
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.2322211811551824e-05,0.45
14,2013-01-02,2013-01-31,2013-04-24,2080,60,5.6353303079959005e-05,0.5
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.0001032877407851629,0.55
16,2013-06-19,2013-07-18,2013-10-09,2200,60,6.40036232653074e-05,0.5
17,2013-09-11,2013-10-10,2014-01-01,2260,60,5.614640758722089e-05,0.5
18,2013-12-04,2014-01-02,2014-03-26,2320,60,3.8215064705582336e-05,0.6
19,2014-02-26,2014-03-27,2014-06-18,2380,60,3.660649963421747e-05,0.4666666666666667
20,2014-05-21,2014-06-19,2014-09-10,2440,60,4.422481651999988e-05,0.5166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,4.109412111574784e-05,0.6
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.00010461577767273411,0.5333333333333333
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00010767758794827387,0.48333333333333334
24,2015-04-22,2015-05-21,2015-08-12,2680,60,0.00010769590880954638,0.55
25,2015-07-15,2015-08-13,2015-11-04,2740,60,7.354917761404067e-05,0.55
26,2015-10-07,2015-11-05,2016-01-27,2800,60,6.205485260579735e-05,0.5333333333333333
27,2015-12-30,2016-01-28,2016-04-20,2860,60,6.28829948254861e-05,0.43333333333333335
28,2016-03-23,2016-04-21,2016-07-13,2920,60,7.023316720733419e-05,0.6
29,2016-06-15,2016-07-14,2016-10-05,2980,60,4.7245532186934724e-05,0.5166666666666667
30,2016-09-07,2016-10-06,2016-12-28,3040,60,7.883147918619215e-05,0.5
31,2016-11-30,2016-12-29,2017-03-22,3100,60,4.792511390405707e-05,0.4666666666666667
32,2017-02-22,2017-03-23,2017-06-14,3160,60,3.226756598451175e-05,0.5
