fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,0.00016773185052443296,0.43333333333333335
1,2010-01-06,2010-02-04,2010-04-28,1300,60,0.00011879081284860149,0.5666666666666667
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00041980796959251165,0.6
3,2010-06-23,2010-07-22,2010-10-13,1420,60,0.0001502905652159825,0.48333333333333334
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00010128207213710994,0.4166666666666667
5,2010-12-08,2011-01-06,2011-03-30,1540,60,0.00019150724983774126,0.5166666666666667
6,2011-03-02,2011-03-31,2011-06-22,1600,60,0.0001686565374257043,0.43333333333333335
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0006276361527852714,0.65
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.0006102944607846439,0.4166666666666667
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.000137357012135908,0.55
10,2012-02-01,2012-03-01,2012-05-23,1840,60,0.00012198897456983104,0.5666666666666667
11,2012-04-25,2012-05-24,2012-08-15,1900,60,0.00021542645117733628,0.5833333333333334
12,2012-07-18,2012-08-16,2012-11-07,1960,60,0.00010091909643961117,0.4666666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,7.273607479874045e-05,0.5
14,2013-01-02,2013-01-31,2013-04-24,2080,60,0.00011839697981486097,0.5666666666666667
15,2013-03-27,2013-04-25,2013-07-17,2140,60,9.601613419363275e-05,0.5
16,2013-06-19,2013-07-18,2013-10-09,2200,60,6.253992614801973e-05,0.4166666666666667
17,2013-09-11,2013-10-10,2014-01-01,2260,60,5.471252734423615e-05,0.5166666666666667
18,2013-12-04,2014-01-02,2014-03-26,2320,60,7.127087155822664e-05,0.4166666666666667
19,2014-02-26,2014-03-27,2014-06-18,2380,60,3.909716906491667e-05,0.6166666666666667
20,2014-05-21,2014-06-19,2014-09-10,2440,60,7.236195233417675e-05,0.43333333333333335
21,2014-08-13,2014-09-11,2014-12-03,2500,60,0.00025549239944666624,0.55
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.0002814443432725966,0.5166666666666667
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00010303033923264593,0.45
24,2015-04-22,2015-05-21,2015-08-12,2680,60,0.00013770410441793501,0.6
25,2015-07-15,2015-08-13,2015-11-04,2740,60,0.00039686684613116086,0.55
26,2015-10-07,2015-11-05,2016-01-27,2800,60,0.00044604064896702766,0.55
27,2015-12-30,2016-01-28,2016-04-20,2860,60,0.00030353976762853563,0.5
28,2016-03-23,2016-04-21,2016-07-13,2920,60,0.00017140300769824535,0.5166666666666667
29,2016-06-15,2016-07-14,2016-10-05,2980,60,0.0001710003853077069,0.48333333333333334
30,2016-09-07,2016-10-06,2016-12-28,3040,60,0.00012439135753083974,0.45
31,2016-11-30,2016-12-29,2017-03-22,3100,60,7.761796587146819e-05,0.55
32,2017-02-22,2017-03-23,2017-06-14,3160,60,8.282501221401617e-05,0.55
33,2017-05-17,2017-06-15,2017-09-06,3220,60,5.904320642002858e-05,0.55
34,2017-08-09,2017-09-07,2017-11-29,3280,60,4.6542310883523896e-05,0.5333333333333333
35,2017-11-01,2017-11-30,2018-02-21,3340,60,0.00016541786317247897,0.4666666666666667
36,2018-01-24,2018-02-22,2018-05-16,3400,60,0.00015016325050964952,0.5833333333333334
37,2018-04-18,2018-05-17,2018-08-08,3460,60,0.00012052420061081648,0.5333333333333333
38,2018-07-11,2018-08-09,2018-10-31,3520,60,0.00015687913401052356,0.5
39,2018-10-03,2018-11-01,2019-01-23,3580,60,0.0003115335130132735,0.45
40,2018-12-26,2019-01-24,2019-04-17,3640,60,0.00010102646774612367,0.6166666666666667
41,2019-03-20,2019-04-18,2019-07-10,3700,60,0.0001319804141530767,0.5
42,2019-06-12,2019-07-11,2019-10-02,3760,60,0.00018176042067352682,0.5666666666666667
43,2019-09-04,2019-10-03,2019-12-25,3820,60,0.0001148706505773589,0.4666666666666667
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.002487407298758626,0.6166666666666667
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.0020725997164845467,0.5333333333333333
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.0004555944469757378,0.55
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.0009745614370331168,0.5
48,2020-10-28,2020-11-26,2021-02-17,4120,60,0.0005126441246829927,0.43333333333333335
49,2021-01-20,2021-02-18,2021-05-12,4180,60,0.0003554012509994209,0.5666666666666667
50,2021-04-14,2021-05-13,2021-08-04,4240,60,0.0003230745787732303,0.5
51,2021-07-07,2021-08-05,2021-10-27,4300,60,0.0003093105915468186,0.55
52,2021-09-29,2021-10-28,2022-01-19,4360,60,0.0002781624789349735,0.5333333333333333
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.0003729079617187381,0.48333333333333334
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.0007459336193278432,0.5333333333333333
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00047273916425183415,0.45
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.0003927507787011564,0.55
57,2022-11-23,2022-12-22,2023-03-15,4660,60,0.0003126683586742729,0.5
58,2023-02-15,2023-03-16,2023-06-07,4720,60,0.0002494173822924495,0.4666666666666667
59,2023-05-10,2023-06-08,2023-08-30,4780,60,0.0001236371317645535,0.5833333333333334
60,2023-08-02,2023-08-31,2023-11-22,4840,60,0.00018273644673172385,0.5166666666666667
61,2023-10-25,2023-11-23,2024-02-14,4900,60,0.00011892752081621438,0.5166666666666667
62,2024-01-17,2024-02-15,2024-05-08,4960,60,7.54905995563604e-05,0.5666666666666667
63,2024-04-10,2024-05-09,2024-07-31,5020,60,0.0001068244528141804,0.45
