fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,0.0001988506264751777,0.5833333333333334
1,2010-01-06,2010-02-04,2010-04-28,1300,60,0.0001014353329082951,0.48333333333333334
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00013262830907478929,0.5166666666666667
3,2010-06-23,2010-07-22,2010-10-13,1420,60,4.275835453881882e-05,0.5833333333333334
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.0001332785323029384,0.36666666666666664
5,2010-12-08,2011-01-06,2011-03-30,1540,60,7.301793084479868e-05,0.5333333333333333
6,2011-03-02,2011-03-31,2011-06-22,1600,60,7.307730993488804e-05,0.5166666666666667
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0002388849388808012,0.6166666666666667
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00024437467800453305,0.5166666666666667
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.0001954531471710652,0.5
10,2012-02-01,2012-03-01,2012-05-23,1840,60,0.00011440107482485473,0.6166666666666667
11,2012-04-25,2012-05-24,2012-08-15,1900,60,8.682673797011375e-05,0.5
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.168213778641075e-05,0.5166666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,3.661867594928481e-05,0.55
14,2013-01-02,2013-01-31,2013-04-24,2080,60,0.00023536095977760851,0.55
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.00023921887623146176,0.5
16,2013-06-19,2013-07-18,2013-10-09,2200,60,0.00018577401351649314,0.5
17,2013-09-11,2013-10-10,2014-01-01,2260,60,0.00012104295456083491,0.5333333333333333
18,2013-12-04,2014-01-02,2014-03-26,2320,60,9.088793012779206e-05,0.45
19,2014-02-26,2014-03-27,2014-06-18,2380,60,5.3982894314685836e-05,0.55
20,2014-05-21,2014-06-19,2014-09-10,2440,60,5.2893050451530144e-05,0.5166666666666667
21,2014-08-13,2014-09-11,2014-12-03,2500,60,0.0001264834136236459,0.4666666666666667
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.00012302336108405143,0.43333333333333335
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00010264237789670005,0.48333333333333334
24,2015-04-22,2015-05-21,2015-08-12,2680,60,4.986675048712641e-05,0.48333333333333334
25,2015-07-15,2015-08-13,2015-11-04,2740,60,7.200460095191374e-05,0.5333333333333333
26,2015-10-07,2015-11-05,2016-01-27,2800,60,8.597727719461545e-05,0.4666666666666667
27,2015-12-30,2016-01-28,2016-04-20,2860,60,0.00015742142568342388,0.38333333333333336
28,2016-03-23,2016-04-21,2016-07-13,2920,60,0.00012922771566081792,0.48333333333333334
29,2016-06-15,2016-07-14,2016-10-05,2980,60,6.223063974175602e-05,0.48333333333333334
30,2016-09-07,2016-10-06,2016-12-28,3040,60,5.9126625274075195e-05,0.55
31,2016-11-30,2016-12-29,2017-03-22,3100,60,4.029637420899235e-05,0.5333333333333333
32,2017-02-22,2017-03-23,2017-06-14,3160,60,4.663028448703699e-05,0.43333333333333335
