fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,8.19729539216496e-05,0.5
1,2010-01-06,2010-02-04,2010-04-28,1300,60,4.94573287141975e-05,0.5666666666666667
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00028031569672748446,0.5333333333333333
3,2010-06-23,2010-07-22,2010-10-13,1420,60,9.695774497231469e-05,0.43333333333333335
4,2010-09-15,2010-10-14,2011-01-05,1480,60,4.9712394684320316e-05,0.6
5,2010-12-08,2011-01-06,2011-03-30,1540,60,8.521516429027542e-05,0.55
6,2011-03-02,2011-03-31,2011-06-22,1600,60,6.0182774177519605e-05,0.45
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.000406496663345024,0.4
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00032011227449402213,0.5166666666666667
9,2011-11-09,2011-12-08,2012-02-29,1780,60,0.00014592365187127143,0.5166666666666667
10,2012-02-01,2012-03-01,2012-05-23,1840,60,0.00010297277185600251,0.5333333333333333
11,2012-04-25,2012-05-24,2012-08-15,1900,60,0.00013139388465788215,0.5333333333333333
12,2012-07-18,2012-08-16,2012-11-07,1960,60,5.110637721372768e-05,0.5166666666666667
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.914394594379701e-05,0.4666666666666667
14,2013-01-02,2013-01-31,2013-04-24,2080,60,6.696466152789071e-05,0.5666666666666667
15,2013-03-27,2013-04-25,2013-07-17,2140,60,8.474321657558903e-05,0.43333333333333335
16,2013-06-19,2013-07-18,2013-10-09,2200,60,4.4768796215066686e-05,0.4
17,2013-09-11,2013-10-10,2014-01-01,2260,60,3.265942359576002e-05,0.5
18,2013-12-04,2014-01-02,2014-03-26,2320,60,5.088655962026678e-05,0.5666666666666667
19,2014-02-26,2014-03-27,2014-06-18,2380,60,3.619856579462066e-05,0.6833333333333333
20,2014-05-21,2014-06-19,2014-09-10,2440,60,2.867040893761441e-05,0.5
21,2014-08-13,2014-09-11,2014-12-03,2500,60,5.976972897769883e-05,0.6333333333333333
22,2014-11-05,2014-12-04,2015-02-25,2560,60,8.446279389318079e-05,0.43333333333333335
23,2015-01-28,2015-02-26,2015-05-20,2620,60,4.548519791569561e-05,0.5833333333333334
24,2015-04-22,2015-05-21,2015-08-12,2680,60,4.853161226492375e-05,0.5166666666666667
25,2015-07-15,2015-08-13,2015-11-04,2740,60,0.0001913848682306707,0.55
26,2015-10-07,2015-11-05,2016-01-27,2800,60,0.00013332630624063313,0.4166666666666667
27,2015-12-30,2016-01-28,2016-04-20,2860,60,8.318580512423068e-05,0.5333333333333333
28,2016-03-23,2016-04-21,2016-07-13,2920,60,7.389973325189203e-05,0.5666666666666667
29,2016-06-15,2016-07-14,2016-10-05,2980,60,3.7495872675208375e-05,0.55
30,2016-09-07,2016-10-06,2016-12-28,3040,60,3.562088022590615e-05,0.4166666666666667
31,2016-11-30,2016-12-29,2017-03-22,3100,60,1.961375164682977e-05,0.4666666666666667
32,2017-02-22,2017-03-23,2017-06-14,3160,60,1.6793928807601333e-05,0.6166666666666667
33,2017-05-17,2017-06-15,2017-09-06,3220,60,2.603800021461211e-05,0.5666666666666667
34,2017-08-09,2017-09-07,2017-11-29,3280,60,1.4062122318136971e-05,0.5166666666666667
35,2017-11-01,2017-11-30,2018-02-21,3340,60,9.420300193596631e-05,0.6166666666666667
36,2018-01-24,2018-02-22,2018-05-16,3400,60,0.00011820663348771632,0.5166666666666667
37,2018-04-18,2018-05-17,2018-08-08,3460,60,2.7394007702241652e-05,0.65
38,2018-07-11,2018-08-09,2018-10-31,3520,60,9.41916077863425e-05,0.5
39,2018-10-03,2018-11-01,2019-01-23,3580,60,0.00020520269754342735,0.43333333333333335
40,2018-12-26,2019-01-24,2019-04-17,3640,60,3.4277039958396927e-05,0.55
41,2019-03-20,2019-04-18,2019-07-10,3700,60,5.895497452002019e-05,0.5333333333333333
42,2019-06-12,2019-07-11,2019-10-02,3760,60,9.85067745205015e-05,0.5333333333333333
43,2019-09-04,2019-10-03,2019-12-25,3820,60,2.479675276845228e-05,0.65
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.0009524046326987445,0.5166666666666667
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.0005774106248281896,0.5333333333333333
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.00010329535143682733,0.7
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.00015185229131020606,0.5166666666666667
48,2020-10-28,2020-11-26,2021-02-17,4120,60,5.590978980762884e-05,0.5833333333333334
49,2021-01-20,2021-02-18,2021-05-12,4180,60,8.156217518262565e-05,0.48333333333333334
50,2021-04-14,2021-05-13,2021-08-04,4240,60,3.930678212782368e-05,0.5666666666666667
51,2021-07-07,2021-08-05,2021-10-27,4300,60,5.2447965572355315e-05,0.55
52,2021-09-29,2021-10-28,2022-01-19,4360,60,8.664457709528506e-05,0.4666666666666667
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.00017352205759380013,0.5333333333333333
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.00032448628917336464,0.5333333333333333
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00018857217219192535,0.5
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.0002466862497385591,0.5833333333333334
57,2022-11-23,2022-12-22,2023-03-15,4660,60,9.81761040748097e-05,0.5666666666666667
58,2023-02-15,2023-03-16,2023-06-07,4720,60,6.150584522401914e-05,0.5666666666666667
59,2023-05-10,2023-06-08,2023-08-30,4780,60,4.5557640987681225e-05,0.5666666666666667
60,2023-08-02,2023-08-31,2023-11-22,4840,60,6.395812670234591e-05,0.6166666666666667
61,2023-10-25,2023-11-23,2024-02-14,4900,60,4.002429704996757e-05,0.6
62,2024-01-17,2024-02-15,2024-05-08,4960,60,5.485895599122159e-05,0.4666666666666667
63,2024-04-10,2024-05-09,2024-07-31,5020,60,4.4431253627408296e-05,0.6166666666666667
