fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,5.5928798246895894e-05,0.4666666666666667
1,2010-01-06,2010-02-04,2010-04-28,1300,60,4.866049494012259e-05,0.5333333333333333
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.00011900892423000187,0.48333333333333334
3,2010-06-23,2010-07-22,2010-10-13,1420,60,0.00013142808165866882,0.5
4,2010-09-15,2010-10-14,2011-01-05,1480,60,0.00013675345689989626,0.4666666666666667
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.76536510582082e-05,0.4166666666666667
6,2011-03-02,2011-03-31,2011-06-22,1600,60,8.5680432675872e-05,0.38333333333333336
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.00027711092843674123,0.48333333333333334
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.00025768604245968163,0.5
9,2011-11-09,2011-12-08,2012-02-29,1780,60,9.798712562769651e-05,0.55
10,2012-02-01,2012-03-01,2012-05-23,1840,60,7.81415801611729e-05,0.6833333333333333
11,2012-04-25,2012-05-24,2012-08-15,1900,60,8.521008567186072e-05,0.5833333333333334
12,2012-07-18,2012-08-16,2012-11-07,1960,60,7.730269862804562e-05,0.5833333333333334
13,2012-10-10,2012-11-08,2013-01-30,2020,60,5.1721468480536714e-05,0.45
14,2013-01-02,2013-01-31,2013-04-24,2080,60,5.9163729019928724e-05,0.5833333333333334
15,2013-03-27,2013-04-25,2013-07-17,2140,60,0.00011109928891528398,0.5333333333333333
16,2013-06-19,2013-07-18,2013-10-09,2200,60,6.426994514185935e-05,0.6166666666666667
17,2013-09-11,2013-10-10,2014-01-01,2260,60,5.496192170539871e-05,0.48333333333333334
18,2013-12-04,2014-01-02,2014-03-26,2320,60,3.904071854776703e-05,0.5666666666666667
19,2014-02-26,2014-03-27,2014-06-18,2380,60,3.993618520325981e-05,0.55
20,2014-05-21,2014-06-19,2014-09-10,2440,60,4.2945546738337725e-05,0.5
21,2014-08-13,2014-09-11,2014-12-03,2500,60,4.6159213525243104e-05,0.5333333333333333
22,2014-11-05,2014-12-04,2015-02-25,2560,60,0.00010855947039090097,0.5
23,2015-01-28,2015-02-26,2015-05-20,2620,60,0.00010655090591171756,0.6166666666666667
24,2015-04-22,2015-05-21,2015-08-12,2680,60,0.00010551680315984413,0.5333333333333333
25,2015-07-15,2015-08-13,2015-11-04,2740,60,7.151415047701448e-05,0.5
26,2015-10-07,2015-11-05,2016-01-27,2800,60,6.243134703254327e-05,0.5333333333333333
27,2015-12-30,2016-01-28,2016-04-20,2860,60,6.171054701553658e-05,0.55
28,2016-03-23,2016-04-21,2016-07-13,2920,60,7.196457590907812e-05,0.55
29,2016-06-15,2016-07-14,2016-10-05,2980,60,4.755781628773548e-05,0.5666666666666667
30,2016-09-07,2016-10-06,2016-12-28,3040,60,8.467882435070351e-05,0.55
31,2016-11-30,2016-12-29,2017-03-22,3100,60,6.106569344410673e-05,0.4
32,2017-02-22,2017-03-23,2017-06-14,3160,60,3.24580651067663e-05,0.43333333333333335
33,2017-05-17,2017-06-15,2017-09-06,3220,60,3.459821527940221e-05,0.48333333333333334
34,2017-08-09,2017-09-07,2017-11-29,3280,60,3.277533323853277e-05,0.5166666666666667
35,2017-11-01,2017-11-30,2018-02-21,3340,60,4.772064494318329e-05,0.45
36,2018-01-24,2018-02-22,2018-05-16,3400,60,3.265245322836563e-05,0.6
37,2018-04-18,2018-05-17,2018-08-08,3460,60,3.7391946534626186e-05,0.5
38,2018-07-11,2018-08-09,2018-10-31,3520,60,3.394964005565271e-05,0.5166666666666667
39,2018-10-03,2018-11-01,2019-01-23,3580,60,2.678949931578245e-05,0.5333333333333333
40,2018-12-26,2019-01-24,2019-04-17,3640,60,3.752438715309836e-05,0.5333333333333333
41,2019-03-20,2019-04-18,2019-07-10,3700,60,3.28476307913661e-05,0.6333333333333333
42,2019-06-12,2019-07-11,2019-10-02,3760,60,8.588995115133002e-05,0.6
43,2019-09-04,2019-10-03,2019-12-25,3820,60,7.186830771388486e-05,0.5
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.0003897831484209746,0.5833333333333334
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.00022525069653056562,0.5
46,2020-05-13,2020-06-11,2020-09-02,4000,60,5.808177957078442e-05,0.5333333333333333
47,2020-08-05,2020-09-03,2020-11-25,4060,60,6.436141120502725e-05,0.5
48,2020-10-28,2020-11-26,2021-02-17,4120,60,5.1351536967558786e-05,0.48333333333333334
49,2021-01-20,2021-02-18,2021-05-12,4180,60,8.024831186048687e-05,0.5833333333333334
50,2021-04-14,2021-05-13,2021-08-04,4240,60,8.499295654473826e-05,0.43333333333333335
51,2021-07-07,2021-08-05,2021-10-27,4300,60,7.034575537545606e-05,0.6166666666666667
52,2021-09-29,2021-10-28,2022-01-19,4360,60,9.756391227710992e-05,0.48333333333333334
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.0001408506213920191,0.5666666666666667
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.0001595442445250228,0.5166666666666667
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00016435871657449752,0.43333333333333335
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.00016944420349318534,0.5333333333333333
57,2022-11-23,2022-12-22,2023-03-15,4660,60,0.00014612295490223914,0.55
58,2023-02-15,2023-03-16,2023-06-07,4720,60,0.0001022782307700254,0.48333333333333334
59,2023-05-10,2023-06-08,2023-08-30,4780,60,9.324732673121616e-05,0.45
60,2023-08-02,2023-08-31,2023-11-22,4840,60,0.00017866279813461006,0.55
